"sample.id","name","Genus","Seqs_pr_taxon","Total_seqs","Prcnt_seqs","Rank","Family","Order"
"49","Thalictrum sp.","Thalictrum",942,71828,1.31146628055911,"genus","Ranunculcaeae","Ranunculales"
"23","Thalictrum sp.","Thalictrum",275,66778,0.41181227350325,"genus","Ranunculcaeae","Ranunculales"
"25","Thalictrum sp.","Thalictrum",328,54231,0.604820121332817,"genus","Ranunculcaeae","Ranunculales"
"42","Thalictrum sp.","Thalictrum",275,66778,0.41181227350325,"genus","Ranunculcaeae","Ranunculales"
"44","Thalictrum sp.","Thalictrum",328,54231,0.604820121332817,"genus","Ranunculcaeae","Ranunculales"
"46","Thalictrum sp.","Thalictrum",540,58087,0.929640022724534,"genus","Ranunculcaeae","Ranunculales"
"23","Trollius sp.","Trollius",552,66778,0.82661954535925,"genus","Ranunculcaeae","Ranunculales"
"24","Trollius sp.","Trollius",166,11984,1.38518024032043,"genus","Ranunculcaeae","Ranunculales"
"25","Trollius sp.","Trollius",947,54231,1.74623370397005,"genus","Ranunculcaeae","Ranunculales"
"26","Trollius sp.","Trollius",6343,388389,1.63315644881807,"genus","Ranunculcaeae","Ranunculales"
"27","Trollius sp.","Trollius",1288,58087,2.21736360975778,"genus","Ranunculcaeae","Ranunculales"
"28","Trollius sp.","Trollius",939,71828,1.30728963635351,"genus","Ranunculcaeae","Ranunculales"
"42","Trollius sp.","Trollius",552,66778,0.82661954535925,"genus","Ranunculcaeae","Ranunculales"
"43","Trollius sp.","Trollius",166,11984,1.38518024032043,"genus","Ranunculcaeae","Ranunculales"
"44","Trollius sp.","Trollius",947,54231,1.74623370397005,"genus","Ranunculcaeae","Ranunculales"
"45","Trollius sp.","Trollius",6343,388389,1.63315644881807,"genus","Ranunculcaeae","Ranunculales"
"46","Trollius sp.","Trollius",1288,58087,2.21736360975778,"genus","Ranunculcaeae","Ranunculales"
"49","Trollius sp.","Trollius",939,71828,1.30728963635351,"genus","Ranunculcaeae","Ranunculales"
NA,"Vaccinium sp.","Vaccinium",89055,595570,14.9529022616989,"genus","Ericaceae","Ericales"
"23","Viola sp.","Viola",3795,66778,5.68300937434484,"genus","Violaceae","Malpighiales"
"42","Viola sp.","Viola",3795,66778,5.68300937434484,"genus","Violaceae","Malpighiales"
"15","Sorbus scopulina","Hedlundia",6164,74768,8.24416862829018,NA,"Rosaceae","Rosaceae"
"35","Sorbus scopulina","Hedlundia",6164,74768,8.24416862829018,NA,"Rosaceae","Rosaceae"
"65","Sorbus scopulina","Hedlundia",6164,74768,8.24416862829018,NA,"Rosaceae","Rosaceae"
"12","Sorbus scopulina","Karpatiosorbus",1301,59478,2.18736339486869,NA,"Rosaceae","Rosaceae"
"32","Sorbus scopulina","Karpatiosorbus",1301,59478,2.18736339486869,NA,"Rosaceae","Rosaceae"
"6","Sorbus scopulina","Karpatiosorbus",1301,59478,2.18736339486869,NA,"Rosaceae","Rosaceae"
"15","Rosaceae","Micromeles",2106,74768,2.81671303231329,NA,"Rosaceae","Rosaceae"
"35","Rosaceae","Micromeles",2106,74768,2.81671303231329,NA,"Rosaceae","Rosaceae"
"65","Rosaceae","Micromeles",2106,74768,2.81671303231329,NA,"Rosaceae","Rosaceae"
