"Application","Example","Citation"
"Plant-Animal Interactions","Dietary Preferences of herbivores","Soininen et al. 2009; reviewed in Banerjee et al. 2022"
"Noxious Weed Detection","Presence of species by hydrologic Basin","Coghlan et al. 2021; Xu et al. 2018"
"Detection of Rare Species","Presence of Rare Aquatic Species; Others","Tsukamoto et al. 2021, reviewed in Banerjee et al. 2022"
"Forensic Science","Identifying the provenance of materials found at crime scene","Allwood et al. 2020"
"Pharmaceutical","Identifying adulterants in wholesale products","Bell et al. 2022"
